id,legacyId,firstName,lastName,department,school,avgRating,avgDifficulty,numRatings,wouldTakeAgainPercent
VGVhY2hlci0yMDk3NjQ0,2097644,Ann Dee,Ellis,Writing,Brigham Young University,4.8,3,6,100
VGVhY2hlci0xOTk1MDky,1995092,Elizabeth,Bailey,Biology,Brigham Young University,4.2,3.4,50,76.9231
VGVhY2hlci0yOTQ5MDc2,2949076,Rob ,Eaton,Religion,Brigham Young University,4.6,1.8,44,88.6364
VGVhY2hlci0xNDI4MTY2,1428166,Steven,Williams,Mathematics Education,Brigham Young University,4.2,3.4,34,86.3636
VGVhY2hlci0xNDk5MjIz,1499223,Jamie,Jensen,Biology,Brigham Young University,3.2,3.6,247,46.8208
VGVhY2hlci0xMTc5OTQ1,1179945,Brock,McMillan,Biology,Brigham Young University,3.3,3.2,62,65.2174
VGVhY2hlci0yMzA3NTY2,2307566,Christine,Hale,Art,Brigham Young University,4.9,1.8,51,98.0392
VGVhY2hlci0yMjE5OTI4,2219928,Tom,Foster,Business,Brigham Young University,2.3,3.5,22,33.3333
VGVhY2hlci0zMDQ3MjQ0,3047244,Tanner,Skousen,Information Systems,Brigham Young University,5,2.8,4,100
VGVhY2hlci0zMTI0NjY5,3124669,Asante,Laryea-Akrong,Information Systems,Brigham Young University,5,2,1,100
VGVhY2hlci0zMTI0Njcw,3124670,Martin,Villar Barrios,Business,Brigham Young University,5,2,1,100
VGVhY2hlci0yMDkyNjU5,2092659,Keryn,Ross,Geology,Brigham Young University,4.9,2.4,776,97.8065
VGVhY2hlci0xOTExMzA1,1911305,Stephan,Taeger,Religion,Brigham Young University,4.7,2.1,125,95.3488
VGVhY2hlci0xODQxMjEy,1841212,Douglas,Cunningham,Humanities,Brigham Young University,3.9,1.7,77,73.5294
VGVhY2hlci0xODk4NjA1,1898605,Jenny,Brooks,Psychology,Brigham Young University,3.7,2.2,39,73.6842
VGVhY2hlci05ODg3Nzk=,988779,Lee,Daniels,Business Administration,Brigham Young University,3.7,2.9,30,69.2308
VGVhY2hlci0yMjIxNTIw,2221520,Spencer,McBride,History,Brigham Young University,5,2.5,17,100
VGVhY2hlci0yMzkwMzk0,2390394,Kerry,Kartchner,Political Science,Brigham Young University,4.3,3.1,16,81.25
VGVhY2hlci0zMDAzNDc5,3003479,Amelia,George,Spanish,Brigham Young University,5,1.7,11,100
VGVhY2hlci0xNTE3MDE0,1517014,Steven,Gorrell,Mechanical Engineering,Brigham Young University,3.1,3.8,9,80
VGVhY2hlci0yODQ4MjQ5,2848249,Jacob,Steffen,Information Systems,Brigham Young University,4.9,2.8,9,100
VGVhY2hlci02MjY4MTU=,626815,Mark,Showalter,Economics,Brigham Young University,3.3,3.9,115,66
VGVhY2hlci0yMjQ4NTc3,2248577,Dianne,Tice,Psychology,Brigham Young University,4.3,2.2,47,82.9787
VGVhY2hlci04Mzk0NjE=,839461,Todd,Mitton,Finance,Brigham Young University,4.1,3.3,33,68.1818
VGVhY2hlci0zMTIyMTE0,3122114,Kyoo,Kim,Student Life,Brigham Young University,5,1,1,100
VGVhY2hlci0yNzYyNTg4,2762588,Aleksandr,Mosenkov,Physics amp Astronomy,Brigham Young University,2.8,3.6,25,40
VGVhY2hlci0yMzU0MDU4,2354058,James,Oldroyd,Business,Brigham Young University,2.7,2.9,10,40
VGVhY2hlci0zMDA4ODg4,3008888,Shintaro,Pang,Nutrition & Food Science,Brigham Young University,5,3,4,100
VGVhY2hlci0zMTE4MTkx,3118191,Hongjuan,Ran,Mechanical Engineering,Brigham Young University,5,2,1,100
VGVhY2hlci0yNDUzMjA2,2453206,Tyler,Kummer,Biology,Brigham Young University,3.9,2.6,35,60
VGVhY2hlci0yMjAwODMz,2200833,James,Johnston,Health Science,Brigham Young University,5,2.4,14,100
VGVhY2hlci0zMDQ3OTcw,3047970,Nicholas,Allmaier,Psychology,Brigham Young University,5,2,1,100
VGVhY2hlci0xODk0MzIz,1894323,Chantel,Sloan,Health Science,Brigham Young University,4.2,3.1,29,68
VGVhY2hlci0yNTIwMzYz,2520363,Erin,Measom,Psychology,Brigham Young University,1,4.7,3,0
VGVhY2hlci0xNDI4OTg3,1428987,Simon,Greathead,Business,Brigham Young University,4.5,2.4,117,84.7059
VGVhY2hlci0xNzA1MTk1,1705195,Stewart,Anderson,History,Brigham Young University,4.3,3.1,93,84.127
VGVhY2hlci0yNzAwMjUz,2700253,Michael,Biggerstaff,Religion,Brigham Young University,4,2.3,35,65.7143
VGVhY2hlci0xNTMyNTM1,1532535,Olga,Bogach Stoddard,Economics,Brigham Young University,4.1,3.2,21,60
VGVhY2hlci0yNzU5OTk2,2759996,Bekki,Brau,Business,Brigham Young University,4.3,2.8,16,75
